s,Faction,Front Name,Era,Cost,Front Factory,Upgrade1,Upgrade2,Back Name,Back Factory,Input,Front Output,Front Efficiency,Back Output,Back Efficiency,Upgrades
1,Caylion Plutocracy,Nanotechnology,1,Researched,bbb➪Ug,Genetic Engineering,Atomic Transmutation,Nanofabricators,bbb➪UgY,3,4,1.333,5.5,1.833,1.375
2,Caylion Plutocracy,Genetic Engineering,1,Researched,ggg➪YBb,Nanotechnology,Clinical Immortality,Genetic Resynthesis,ggg➪YBbY,3,4,1.333,5.5,1.833,1.375
3,Caylion Plutocracy,Universal Translator,1,Researched,www➪$+B,Ubiquitous Cultural Repository,Quantum Computers,Universal Empathic Communication,www➪$+Bbw,3,4.5,1.500,6.5,2.167,1.444
4,Caylion Plutocracy,Antimatter Power,2,Researched,bbbb➪YYBw,Hyperspace Mining,Organic Construction,Antimatter Compounds,bbbb➪YYBwgw,4,5.5,1.375,7.5,1.875,1.364
5,Caylion Plutocracy,Interspecies Medical Exchange,2,Researched,gggg➪$w+gb,Cross Species Ethical Equality,Organic Construction,Panbiologic Medicine,gggg➪$wbY+gb,4,6,1.500,8.5,2.125,1.417
6,Caylion Plutocracy,Cross Species Ethical Equality,2,Researched,wwww➪$+$b,Interspecies Medical Exchange,Achronal Analysis,Concrete Universal Metaethics,wwww➪$U+$b,4,7,1.750,10,2.500,1.429
7,Caylion Plutocracy,Xeno Cultural Exchange,3,Researched,bbbbb➪$Bwwwg+$,Megastructures,Social Exodus,Multispecies Hybrid Cultures,bbbbb➪$$Bwwwg+$Bw,5,11.5,2.300,17,3.400,1.478
8,Caylion Plutocracy,Poly Species Corporations,3,Researched,ggggg➪$YY**+bbbg,Galactic Telecomm Control,Xeno Cultural Exchange,Full Interspecies Integration,ggggg➪$$YY**+bbbgw,5,12,2.400,16,3.200,1.333
9,Caylion Plutocracy,Social Exodus,3,Researched,wwwww➪$**B+$**YT,Galactic Telecomm Control,Xeno Cultural Exchange,Galactic Colonization,wwwww➪$$**B+$**YTb,5,14.5,2.900,18.5,3.700,1.276
10,Caylion Plutocracy,Quantum Computers,1,Researched,BB➪TYg,Universal Translator,Clinical Immortality,Nondeterministic Polynomial Collapse,BB➪YTgY,3,4,1.333,5.5,1.833,1.375
11,Caylion Plutocracy,Clinical Immortality,1,Researched,TT➪$w,Genetic Engineering,Atomic Transmutation,Practical Immortality,TT➪$wY,3,4,1.333,5.5,1.833,1.375
12,Caylion Plutocracy,Ubiquitous Cultural Repository,1,Researched,YY➪$g,Universal Translator,Quantum Computers,Memetic Lifeforms,YY➪$gB,3,4,1.333,5.5,1.833,1.375
